date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:01	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://kingofkfcjamal.github.io/robots.txt		(from )
20:34:01	19622/19622	---M-Z	200	added ('OK')	text/html	etag:W/%22611cc82d-4ca6%22	https://kingofkfcjamal.github.io/CaseClicker/	C:/My%20Web%20Sites/CaseCLikcer/kingofkfcjamal.github.io/CaseClicker/index.html	(from )
20:34:01	657/657	---M--	200	added ('OK')	image/png	etag:%22611cc82d-291%22	https://kingofkfcjamal.github.io/CaseClicker/csgo.png	C:/My%20Web%20Sites/CaseCLikcer/kingofkfcjamal.github.io/CaseClicker/csgo.png	(from https://kingofkfcjamal.github.io/CaseClicker/)
20:34:01	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/CaseCLikcer/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://kingofkfcjamal.github.io/CaseClicker/)
20:34:01	24068/24068	---M-Z	200	added ('OK')	text/css	etag:W/%22611cc82d-5e04%22	https://kingofkfcjamal.github.io/CaseClicker/css/stylesheet.css	C:/My%20Web%20Sites/CaseCLikcer/kingofkfcjamal.github.io/CaseClicker/css/stylesheet.css	(from https://kingofkfcjamal.github.io/CaseClicker/)
20:34:02	85589/85589	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	C:/My%20Web%20Sites/CaseCLikcer/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from https://kingofkfcjamal.github.io/CaseClicker/)
20:34:02	167142/167142	---M--	200	added ('OK')	text/javascript	etag:13976661051608267529	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3817287088391733	C:/My%20Web%20Sites/CaseCLikcer/pagead2.googlesyndication.com/pagead/js/f4fd1.txt	(from https://kingofkfcjamal.github.io/CaseClicker/)
20:34:02	10880/10880	---M--	200	added ('OK')	audio/mp3	etag:%22611cc82d-2a80%22	https://kingofkfcjamal.github.io/CaseClicker/sounds/start-game.mp3	C:/My%20Web%20Sites/CaseCLikcer/kingofkfcjamal.github.io/CaseClicker/sounds/start-game.mp3	(from https://kingofkfcjamal.github.io/CaseClicker/)
20:34:02	19141/19141	---M--	200	added ('OK')	audio/mp3	etag:%22611cc82d-4ac5%22	https://kingofkfcjamal.github.io/CaseClicker/sounds/new-item.mp3	C:/My%20Web%20Sites/CaseCLikcer/kingofkfcjamal.github.io/CaseClicker/sounds/new-item.mp3	(from https://kingofkfcjamal.github.io/CaseClicker/)
20:34:02	30257/30257	---M--	200	added ('OK')	audio/mp3	etag:%22611cc82d-7631%22	https://kingofkfcjamal.github.io/CaseClicker/sounds/win-pot.mp3	C:/My%20Web%20Sites/CaseCLikcer/kingofkfcjamal.github.io/CaseClicker/sounds/win-pot.mp3	(from https://kingofkfcjamal.github.io/CaseClicker/)
